subject_code,cert,level,subject,weight,difficulty,hours,concepts
CFA_L1_Ethics,CFA,1,Ethics & Professional Standards,17.5,6,75,"Professional standards, GIPS, ethical decision making"
CFA_L1_Quant,CFA,1,Quantitative Methods,7.5,7,80,"Statistics, probability, time value of money, hypothesis testing"
CFA_L1_Econ,CFA,1,Economics,7.5,5,60,"Micro/macro economics, market structures, business cycles"
CFA_L1_FSA,CFA,1,Financial Statement Analysis,12.5,8,100,"Financial reporting standards, ratio analysis, cash flow"
CFA_L1_Corp,CFA,1,Corporate Issuers,7.5,6,55,"Corporate governance, capital budgeting, cost of capital"
CFA_L1_Equity,CFA,1,Equity Investments,12.5,7,85,"Market organization, security valuation, industry analysis"
CFA_L1_FI,CFA,1,Fixed Income,12.5,9,90,"Bond valuation, yield measures, credit analysis"
CFA_L1_Deriv,CFA,1,Derivatives,6.5,8,70,"Forward, futures, options, swaps pricing"
CFA_L1_Alt,CFA,1,Alternative Investments,8.5,6,65,"REITs, hedge funds, private equity, commodities"
CFA_L1_PM,CFA,1,Portfolio Management,10,7,75,"Modern portfolio theory, CAPM, performance measurement"
CFA_L2_Ethics,CFA,2,Ethics & Professional Standards,12.5,8,60,"Application-focused ethical scenarios, case studies"
CFA_L2_Quant,CFA,2,Quantitative Methods,7.5,8,70,"Multiple regression, time series analysis, machine learning"
CFA_L2_Econ,CFA,2,Economics,7.5,6,50,"Currency exchange rates, economic growth, regulations"
CFA_L2_FSA,CFA,2,Financial Statement Analysis,12.5,9,95,"Intercorporate investments, employee compensation, quality analysis"
CFA_L2_Corp,CFA,2,Corporate Issuers,7.5,7,55,"Capital structure, dividends, corporate restructuring"
CFA_L2_Equity,CFA,2,Equity Investments,12.5,8,85,"Industry and company analysis, equity valuation models"
CFA_L2_FI,CFA,2,Fixed Income,12.5,9,90,"Term structure models, credit analysis, securitization"
CFA_L2_Deriv,CFA,2,Derivatives,7.5,9,75,Valuation and risk management of derivatives
CFA_L2_Alt,CFA,2,Alternative Investments,7.5,7,60,"Private equity, hedge fund strategies, real estate"
CFA_L2_PM,CFA,2,Portfolio Management,12.5,8,80,"Behavioral finance, execution, portfolio concepts"
CFA_L3_Ethics,CFA,3,Ethics & Professional Standards,12.5,7,50,"Portfolio management ethics, fiduciary duties"
CFA_L3_Econ,CFA,3,Economics,7.5,6,40,"Capital market expectations, behavioral finance"
CFA_L3_Equity,CFA,3,Equity Investments,12.5,8,65,"Equity portfolio management, factor models"
CFA_L3_FI,CFA,3,Fixed Income,17.5,9,85,"Fixed income portfolio management, liability matching"
CFA_L3_Deriv,CFA,3,Derivatives,7.5,8,60,"Risk management applications, currency hedging"
CFA_L3_Alt,CFA,3,Alternative Investments,7.5,7,50,Alternative investment portfolio management
CFA_L3_PM,CFA,3,Portfolio Management,37.5,9,140,"IPS, asset allocation, performance evaluation, wealth planning"
FRM_P1_Found,FRM,1,Foundations of Risk Management,20,6,50,"Risk governance, enterprise risk management, ethics"
